root_label,display_label,transition,encoder,regime,color,H100_iqm,H100_iqm_ci_lo,H100_iqm_ci_hi,H100_std_systems,H100_log10_std_systems,H100_n_systems,H100_n_seed_system_pairs,H500_iqm,H500_iqm_ci_lo,H500_iqm_ci_hi,H500_std_systems,H500_log10_std_systems,H500_n_systems,H500_n_seed_system_pairs,H1000_iqm,H1000_iqm_ci_lo,H1000_iqm_ci_hi,H1000_std_systems,H1000_log10_std_systems,H1000_n_systems,H1000_n_seed_system_pairs,h_basin_given_support_iqm,h_basin_given_support_iqm_ci_lo,h_basin_given_support_iqm_ci_hi,h_basin_given_support_std_systems,h_basin_given_support_n_systems,h_support_given_basin_iqm,h_support_given_basin_iqm_ci_lo,h_support_given_basin_iqm_ci_hi,h_support_given_basin_std_systems,h_support_given_basin_n_systems,u_exact_iqm,u_exact_iqm_ci_lo,u_exact_iqm_ci_hi,u_exact_std_systems,u_exact_n_systems
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",block-diagonal,MLP,boundary-emphasized,blockdiag_mlp,0.01627364031959782,0.00564775212418361,1.964015675060767,1212.2435503604358,1.7453667627058755,17,316,0.05129199543782698,0.011800978657400518,0.3480635180354814,8.3236254871124e+28,7.632799815355536,17,316,0.04519314763206628,0.012282340569813541,0.18370125842355234,0.22873660417555275,1.0458145486478478,17,316,0.0,0.0,0.0,0.0,17,0.32613938483505905,0.06629960343687781,1.3701706553666173,2.1210236025798266,17,0.9170246140886736,0.6090197516134239,0.9908195437832749,0.33543172404486526,17
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,dense,MLP,boundary-emphasized,sparse_mlp,0.01826593321424697,0.004698974096736447,0.3616242493771999,1103.9446680261724,1.6985491955673213,17,167,0.042074759368551845,0.012783343436115488,0.20227071339087693,1.287229473610788e+27,7.229679445301379,17,167,0.0464949156183542,0.012761463336040176,0.18301199171174065,0.21130037010152372,1.0969536618136049,17,167,0.0,0.0,0.0,0.0,17,0.3422434735022851,0.06092792035233634,1.414535478261294,2.124893117197334,17,0.9116740962626712,0.6078679555461461,0.9911005338358124,0.3354313059215157,17
mlp_zero_sparse_hardinit_basin_partition_control,"Dense MLP, no shrink",dense,MLP,boundary-emphasized,zero_mlp,0.6648886959585878,0.3044282441700343,1.576732696714866,3.1974158069748024,0.7405043561351927,17,167,2.6779062761200803,1.0904590836012114,8.605505034894202,19.421309036549644,0.8930261077818861,17,167,3.074854069451491,1.2327129305845805,9.479559391051524,19.97108184984306,0.9274702215039533,17,167,0.0011556434473829274,0.0,0.054216467737795156,0.13092560955470664,17,0.3430883592545915,0.08209451718259768,1.2413158179130563,1.9611806912824623,17,0.9189472948023051,0.6530765358902657,0.9891347773869784,0.3036504422120034,17
